timestamp;wind_speed;wind_direction;temperature;pressure;humidity
2026-08-17 00:00;7.99;89.8;26.3;1009.6;83.0
2026-08-17 00:10;7.34;90.8;26.2;1009.6;83.7
2026-08-17 00:20;7.47;93.6;26.2;1009.6;82.9
2026-08-17 00:30;7.07;94.1;26.3;1009.7;83.5
2026-08-17 00:40;7.35;90.9;26.1;1009.8;85.1
2026-08-17 00:50;7.28;92.1;26.0;1009.9;83.2
2026-08-17 01:00;7.56;89.0;25.6;1009.9;84.7
2026-08-17 01:10;7.93;90.9;25.4;1010.0;85.3
2026-08-17 01:20;7.86;90.7;25.4;1010.2;87.2
2026-08-17 01:30;7.99;92.6;25.4;1010.1;85.7
2026-08-17 01:40;7.75;94.0;25.4;1010.5;85.9
2026-08-17 01:50;7.27;95.9;25.5;1010.6;87.3
2026-08-17 02:00;7.9;95.8;25.3;1010.6;88.2
2026-08-17 02:10;7.26;96.1;25.3;1010.6;88.0
2026-08-17 02:20;7.53;101.4;25.3;1010.6;86.5
2026-08-17 02:30;7.19;103.2;25.2;1010.7;88.3
2026-08-17 02:40;6.92;102.3;24.9;1010.7;87.6
2026-08-17 02:50;7.16;104.7;24.9;1010.8;88.5
2026-08-17 03:00;7.66;106.3;25.0;1010.8;89.2
2026-08-17 03:10;7.81;108.5;25.0;1011.1;87.8
2026-08-17 03:20;8.46;108.2;24.9;1011.1;88.2
2026-08-17 03:30;8.97;109.4;25.0;1010.9;88.9
2026-08-17 03:40;9.07;107.6;24.9;1011.0;90.3
2026-08-17 03:50;8.49;106.2;25.1;1011.1;87.4
2026-08-17 04:00;8.44;103.2;25.1;1011.0;88.7
2026-08-17 04:10;8.37;108.2;25.1;1011.3;86.2
2026-08-17 04:20;8.25;108.6;25.3;1011.2;88.1
2026-08-17 04:30;8.45;111.6;25.3;1011.3;86.3
2026-08-17 04:40;7.86;111.4;25.3;1011.7;86.3
2026-08-17 04:50;7.98;107.4;25.2;1011.8;88.1
2026-08-17 05:00;8.58;107.1;25.0;1011.9;88.1
2026-08-17 05:10;8.71;105.5;25.2;1011.9;87.7
2026-08-17 05:20;9.16;106.8;25.2;1012.2;87.0
2026-08-17 05:30;8.92;107.0;25.4;1012.3;86.7
2026-08-17 05:40;9.32;105.9;25.2;1012.3;87.0
2026-08-17 05:50;8.94;107.9;25.3;1012.2;86.9
2026-08-17 06:00;8.77;104.6;25.4;1012.2;85.2
2026-08-17 06:10;8.92;105.9;25.3;1012.2;87.1
2026-08-17 06:20;8.54;106.9;25.4;1012.5;83.7
2026-08-17 06:30;8.8;106.3;25.4;1012.7;85.6
2026-08-17 06:40;9.69;105.5;25.5;1012.6;84.4
2026-08-17 06:50;9.57;105.2;25.6;1012.2;87.0
2026-08-17 07:00;9.38;109.3;25.5;1012.2;88.4
2026-08-17 07:10;8.92;106.1;25.5;1012.2;85.5
2026-08-17 07:20;9.41;105.8;25.4;1012.1;86.3
2026-08-17 07:30;9.52;101.8;25.5;1012.2;86.8
2026-08-17 07:40;9.66;103.2;25.5;1012.0;84.5
2026-08-17 07:50;9.77;105.0;25.5;1011.8;83.2
2026-08-17 08:00;9.17;106.9;25.4;1011.6;84.8
2026-08-17 08:10;9.77;107.3;25.7;1011.5;82.5
2026-08-17 08:20;9.39;111.0;25.9;1011.5;86.0
2026-08-17 08:30;9.32;112.3;26.1;1011.3;84.3
2026-08-17 08:40;9.91;109.2;26.2;1011.3;82.3
2026-08-17 08:50;9.26;104.4;26.1;1011.2;81.5
2026-08-17 09:00;9.38;103.3;26.1;1010.8;81.8
2026-08-17 09:10;9.51;106.1;26.3;1010.7;82.0
2026-08-17 09:20;9.41;105.1;26.4;1010.6;77.7
2026-08-17 09:30;9.46;106.2;26.5;1010.4;80.1
2026-08-17 09:40;10.16;106.7;26.6;1010.3;79.2
2026-08-17 09:50;9.55;106.8;26.7;1010.4;79.7
2026-08-17 10:00;9.97;105.6;27.0;1010.2;78.1
2026-08-17 10:10;10.1;104.4;27.3;1010.2;74.5
2026-08-17 10:20;10.27;104.1;27.4;1010.2;76.6
2026-08-17 10:30;9.34;102.2;27.6;1010.3;77.6
2026-08-17 10:40;10.13;98.4;27.8;1010.0;76.6
2026-08-17 10:50;10.19;97.0;28.1;1010.0;71.7
2026-08-17 11:00;10.27;96.5;28.1;1009.9;75.0
2026-08-17 11:10;9.63;98.4;28.4;1009.8;72.8
2026-08-17 11:20;9.73;97.9;28.5;1009.8;71.1
2026-08-17 11:30;10.49;100.8;28.5;1009.7;71.2
2026-08-17 11:40;10.95;101.3;28.6;1009.7;72.3
2026-08-17 11:50;10.81;103.7;28.6;1009.8;72.2
2026-08-17 12:00;10.68;102.4;28.5;1009.7;70.5
2026-08-17 12:10;10.99;103.0;28.8;1010.0;70.8
2026-08-17 12:20;10.25;102.7;28.8;1009.9;70.3
2026-08-17 12:30;10.37;102.3;28.8;1009.8;72.5
2026-08-17 12:40;10.28;101.1;28.8;1010.0;69.7
2026-08-17 12:50;10.48;103.4;28.9;1010.2;69.2
2026-08-17 13:00;10.94;102.2;29.0;1010.4;70.6
2026-08-17 13:10;10.88;100.2;29.1;1010.3;68.2
2026-08-17 13:20;10.55;101.4;28.9;1010.4;70.0
2026-08-17 13:30;10.29;104.3;29.1;1010.4;68.5
2026-08-17 13:40;10.59;101.4;29.1;1010.4;69.1
2026-08-17 13:50;10.67;102.0;29.3;1010.5;68.0
2026-08-17 14:00;10.14;104.1;29.4;1010.8;67.1
2026-08-17 14:10;10.18;104.3;29.5;1010.9;65.9
2026-08-17 14:20;10.56;106.0;29.6;1011.2;66.9
2026-08-17 14:30;10.54;106.1;29.9;1011.1;67.0
2026-08-17 14:40;9.92;100.5;29.6;1011.0;68.4
2026-08-17 14:50;9.61;100.6;29.5;1011.2;66.3
2026-08-17 15:00;10.26;98.9;29.5;1011.3;67.7
2026-08-17 15:10;10.88;99.7;29.4;1011.3;67.3
2026-08-17 15:20;11.15;101.1;29.5;1011.5;67.2
2026-08-17 15:30;11.03;101.8;29.7;1011.6;66.6
2026-08-17 15:40;10.54;103.6;29.7;1011.8;65.1
2026-08-17 15:50;10.98;100.8;29.6;1012.0;65.9
2026-08-17 16:00;10.9;101.3;29.5;1012.2;69.3
2026-08-17 16:10;10.03;98.4;29.7;1012.1;66.8
2026-08-17 16:20;10.13;100.3;29.7;1012.2;66.4
2026-08-17 16:30;10.71;99.5;29.7;1012.2;67.3
2026-08-17 16:40;10.61;99.5;29.6;1012.3;69.1
2026-08-17 16:50;10.69;101.4;29.7;1012.5;67.6
2026-08-17 17:00;10.75;103.4;29.8;1012.4;67.3
2026-08-17 17:10;9.92;103.4;29.8;1012.6;67.4
2026-08-17 17:20;10.36;103.3;29.7;1012.5;66.7
2026-08-17 17:30;9.78;104.6;29.6;1012.6;68.0
2026-08-17 17:40;10.27;106.7;29.5;1012.5;67.7
2026-08-17 17:50;9.58;107.8;29.7;1012.5;67.4
2026-08-17 18:00;10.1;102.1;29.7;1012.6;67.5
2026-08-17 18:10;10.7;104.1;29.6;1012.5;68.0
2026-08-17 18:20;10.42;101.0;29.7;1012.6;69.1
2026-08-17 18:30;9.93;105.5;29.9;1012.6;66.8
2026-08-17 18:40;9.58;106.0;29.7;1012.6;69.8
2026-08-17 18:50;8.99;110.0;29.8;1012.4;66.8
2026-08-17 19:00;8.96;106.9;29.6;1012.0;68.7
2026-08-17 19:10;9.81;103.8;29.5;1011.8;70.2
2026-08-17 19:20;9.72;107.8;29.4;1011.7;70.5
2026-08-17 19:30;9.51;104.1;29.4;1011.7;70.4
2026-08-17 19:40;9.69;102.6;29.3;1011.8;69.2
2026-08-17 19:50;10.42;101.7;29.1;1012.1;71.4
2026-08-17 20:00;10.91;103.3;28.8;1012.0;71.7
2026-08-17 20:10;10.21;99.0;28.8;1012.0;73.0
2026-08-17 20:20;10.01;97.2;28.6;1011.8;72.1
2026-08-17 20:30;9.87;97.2;28.4;1011.7;73.1
2026-08-17 20:40;9.82;98.4;28.4;1011.6;72.3
2026-08-17 20:50;9.61;99.0;28.4;1011.3;74.4
2026-08-17 21:00;10.08;98.5;28.3;1011.3;74.9
2026-08-17 21:10;10.27;98.6;28.3;1011.1;74.8
2026-08-17 21:20;10.68;98.1;28.2;1010.9;76.3
2026-08-17 21:30;10.16;100.0;28.0;1010.7;76.4
2026-08-17 21:40;10.1;100.5;28.0;1010.6;76.6
2026-08-17 21:50;9.6;103.0;28.0;1010.6;76.6
2026-08-17 22:00;9.2;101.8;28.0;1010.5;76.8
2026-08-17 22:10;8.59;101.9;27.8;1010.3;77.2
2026-08-17 22:20;7.82;103.0;27.8;1010.3;76.4
2026-08-17 22:30;7.51;102.3;27.4;1010.2;79.6
2026-08-17 22:40;7.49;100.8;27.3;1010.2;80.4
2026-08-17 22:50;7.6;99.0;27.2;1010.2;81.4
2026-08-17 23:00;7.56;96.5;27.0;1009.9;80.7
2026-08-17 23:10;7.07;93.9;26.7;1009.8;82.0
2026-08-17 23:20;6.65;90.3;26.7;1009.7;82.0
2026-08-17 23:30;7.13;90.9;26.5;1009.7;82.8
2026-08-17 23:40;7.0;88.2;26.6;1009.7;81.6
2026-08-17 23:50;7.12;91.2;26.6;1009.6;83.0
2026-08-18 00:00;8.13;94.8;26.6;1009.5;86.4
2026-08-18 00:10;7.62;94.2;26.4;1009.8;83.4
2026-08-18 00:20;7.06;95.1;26.4;1009.8;81.7
2026-08-18 00:30;6.85;94.4;26.3;1009.8;84.1
2026-08-18 00:40;6.56;90.8;26.2;1010.0;83.3
2026-08-18 00:50;7.68;92.5;26.0;1009.9;84.9
2026-08-18 01:00;7.2;98.2;25.8;1010.1;86.8
2026-08-18 01:10;7.22;96.0;25.8;1010.2;86.4
2026-08-18 01:20;7.3;93.1;25.7;1010.2;83.2
2026-08-18 01:30;7.05;90.4;25.8;1010.5;87.6
2026-08-18 01:40;6.87;90.0;25.8;1010.7;85.0
2026-08-18 01:50;6.89;95.6;25.7;1010.7;85.9
2026-08-18 02:00;7.21;93.6;25.6;1010.7;85.7
2026-08-18 02:10;8.03;95.7;25.6;1010.7;85.9
2026-08-18 02:20;8.43;94.8;25.7;1010.6;85.6
2026-08-18 02:30;9.07;90.7;25.8;1010.5;85.6
2026-08-18 02:40;8.84;93.2;25.3;1010.4;86.5
2026-08-18 02:50;8.73;91.8;25.3;1010.4;86.8
2026-08-18 03:00;8.25;93.0;25.3;1010.7;86.4
2026-08-18 03:10;8.03;93.7;25.3;1010.9;85.5
2026-08-18 03:20;8.13;92.2;25.1;1010.8;88.9
