timestamp;GHI;Tamb
2026-03-21 16:01:00;480.5;30.2
2026-03-21 16:02:00;474.0;30.2
2026-03-21 16:03:00;471.2;30.2
2026-03-21 16:04:00;461.6;30.3
2026-03-21 16:05:00;462.8;30.3
2026-03-21 16:06:00;461.2;30.4
2026-03-21 16:07:00;451.8;30.2
2026-03-21 16:08:00;449.3;30.2
2026-03-21 16:09:00;446.3;30.3
2026-03-21 16:10:00;454.3;30.3
2026-03-21 16:11:00;445.5;30.2
2026-03-21 16:12:00;443.0;30.1
2026-03-21 16:13:00;440.0;30.1
2026-03-21 16:14:00;430.8;30.1
2026-03-21 16:15:00;425.4;30.2
2026-03-21 16:16:00;422.5;30.1
2026-03-21 16:17:00;411.8;30.2
2026-03-21 16:18:00;396.3;29.9
2026-03-21 16:19:00;403.5;29.9
2026-03-21 16:20:00;406.9;29.9
2026-03-21 16:21:00;401.3;30.0
2026-03-21 16:22:00;389.1;29.9
2026-03-21 16:23:00;396.6;29.9
2026-03-21 16:24:00;383.0;29.8
2026-03-21 16:25:00;380.4;29.7
2026-03-21 16:26:00;370.8;29.7
2026-03-21 16:27:00;378.3;29.8
2026-03-21 16:28:00;364.6;29.6
2026-03-21 16:29:00;365.6;29.6
2026-03-21 16:30:00;355.4;29.6
2026-03-21 16:31:00;356.9;29.6
2026-03-21 16:32:00;349.6;29.5
2026-03-21 16:33:00;356.0;29.5
2026-03-21 16:34:00;348.8;29.6
2026-03-21 16:35:00;347.5;29.4
2026-03-21 16:36:00;344.1;29.5
2026-03-21 16:37:00;345.4;29.4
2026-03-21 16:38:00;340.2;29.6
2026-03-21 16:39:00;331.0;29.4
2026-03-21 16:40:00;323.6;29.3
2026-03-21 16:41:00;323.5;29.3
2026-03-21 16:42:00;323.0;29.4
2026-03-21 16:43:00;317.5;29.4
2026-03-21 16:44:00;314.8;29.4
2026-03-21 16:45:00;313.8;29.3
2026-03-21 16:46:00;313.5;29.2
2026-03-21 16:47:00;300.2;29.4
2026-03-21 16:48:00;298.6;29.4
2026-03-21 16:49:00;301.8;29.3
2026-03-21 16:50:00;286.6;29.2
2026-03-21 16:51:00;292.2;29.2
2026-03-21 16:52:00;280.5;29.3
2026-03-21 16:53:00;272.2;29.2
2026-03-21 16:54:00;273.4;29.3
2026-03-21 16:55:00;270.8;29.2
2026-03-21 16:56:00;258.9;29.2
2026-03-21 16:57:00;270.1;29.4
2026-03-21 16:58:00;265.3;29.1
2026-03-21 16:59:00;255.7;29.2
2026-03-21 17:00:00;262.4;29.0
2026-03-21 17:01:00;256.9;29.1
2026-03-21 17:02:00;246.3;28.9
2026-03-21 17:03:00;241.7;29.1
2026-03-21 17:04:00;247.5;28.9
2026-03-21 17:05:00;230.5;29.0
2026-03-21 17:06:00;231.1;29.0
2026-03-21 17:07:00;234.8;28.9
2026-03-21 17:08:00;227.4;29.0
2026-03-21 17:09:00;226.1;29.1
2026-03-21 17:10:00;223.6;28.9
2026-03-21 17:11:00;221.3;28.9
2026-03-21 17:12:00;206.7;28.9
2026-03-21 17:13:00;212.8;28.9
2026-03-21 17:14:00;205.5;28.9
2026-03-21 17:15:00;208.8;28.8
2026-03-21 17:16:00;196.0;28.6
2026-03-21 17:17:00;193.6;28.8
2026-03-21 17:18:00;185.3;28.6
2026-03-21 17:19:00;187.8;28.6
2026-03-21 17:20:00;182.4;28.8
2026-03-21 17:21:00;176.8;28.5
2026-03-21 17:22:00;178.5;28.6
2026-03-21 17:23:00;161.8;28.6
2026-03-21 17:24:00;174.0;28.5
2026-03-21 17:25:00;167.8;28.4
2026-03-21 17:26:00;168.1;28.4
2026-03-21 17:27:00;160.7;28.4
2026-03-21 17:28:00;153.1;28.4
2026-03-21 17:29:00;156.5;28.3
2026-03-21 17:30:00;151.6;28.3
2026-03-21 17:31:00;143.7;28.3
2026-03-21 17:32:00;135.9;28.3
2026-03-21 17:33:00;135.2;28.3
2026-03-21 17:34:00;128.3;28.1
2026-03-21 17:35:00;131.0;28.2
2026-03-21 17:36:00;129.6;28.1
2026-03-21 17:37:00;122.0;28.0
2026-03-21 17:38:00;132.7;28.1
2026-03-21 17:39:00;128.8;27.9
2026-03-21 17:40:00;110.3;28.1
2026-03-21 17:41:00;112.5;28.1
2026-03-21 17:42:00;123.2;28.1
2026-03-21 17:43:00;104.8;28.0
2026-03-21 17:44:00;103.4;28.0
2026-03-21 17:45:00;103.6;28.0
2026-03-21 17:46:00;99.2;28.0
2026-03-21 17:47:00;94.5;28.2
2026-03-21 17:48:00;92.5;28.0
2026-03-21 17:49:00;90.2;28.0
2026-03-21 17:50:00;89.1;28.0
2026-03-21 17:51:00;84.8;28.2
2026-03-21 17:52:00;79.7;28.1
2026-03-21 17:53:00;81.1;27.9
2026-03-21 17:54:00;73.7;28.0
2026-03-21 17:55:00;76.7;28.0
2026-03-21 17:56:00;71.2;28.0
2026-03-21 17:57:00;67.7;28.0
2026-03-21 17:58:00;67.7;27.9
2026-03-21 17:59:00;58.2;28.0
2026-03-21 18:00:00;55.1;27.8
