timestamp,GHI,temperatura_C,wind_speed,wind_direction,pressure_hPa,humidity_pct
2026-09-21 10:00:00,475.6000000000001,24.74143010641986,7.0,95.0,1010.0,62.0
2026-09-21 10:10:00,580.8333333333333,25.17064621128418,7.980350263027049,98.75,1009.9318516525782,59.929447639179834
2026-09-21 10:20:00,666.9333333333333,25.628408770178194,8.644381823756682,102.5,1009.7320508075688,58.0
2026-09-21 10:30:00,733.9,26.107574551473018,8.777839013071247,106.25,1009.4142135623731,56.34314575050762
2026-09-21 10:40:00,781.7333333333333,26.600666333412686,8.33766068585931,110.0,1009.0,55.07179676972449
2026-09-21 10:50:00,810.4333333333333,27.09998958365885,7.465874281184537,113.75,1008.5176380902051,54.27259338968746
2026-09-21 11:00:00,820.0,27.597752529894397,6.443769410125094,117.5,1008.0,54.0
2026-09-21 11:10:00,810.4333333333334,28.08618774782445,5.6011372693774515,121.25,1007.4823619097949,54.27259338968745
2026-09-21 11:20:00,781.7333333333333,28.557673369234603,5.209860588337108,125.0,1007.0,55.07179676972449
2026-09-21 11:30:00,733.9,29.004852018695193,5.396188256460937,128.75,1006.5857864376269,56.34314575050762
2026-09-21 11:40:00,666.9333333333334,29.420745622944157,6.1000000000000005,132.5,1006.2679491924312,58.0
2026-09-21 11:50:00,580.8333333333335,29.798864301386413,7.094204721237299,136.25,1006.0681483474218,59.929447639179834
2026-09-21 12:00:00,475.6000000000001,30.133307638509933,8.058013454126453,140.0,1006.0,62.0
