timestamp,P_demanda_total_kW,P_termica_requested_kW,P_bateria_requested_kW,P_H2_requested_kW
2026-09-21 10:00:00,145.0,45.0,0.0,22.0
2026-09-21 10:01:00,145.94204721237298,45.0,0.0,22.0
2026-09-21 10:02:00,146.88151233881777,45.0,0.0,22.0
2026-09-21 10:03:00,147.81582037072417,45.0,0.0,22.0
2026-09-21 10:04:00,148.74241043471966,45.0,0.0,22.0
2026-09-21 10:05:00,149.65874281184537,45.0,0.0,22.0
2026-09-21 10:06:00,150.56230589874906,45.0,0.0,22.0
2026-09-21 10:07:00,151.4506230918154,45.0,0.0,22.0
2026-09-21 10:08:00,152.3212595753644,45.0,0.0,22.0
2026-09-21 10:09:00,153.17182899531184,45.0,0.0,22.0
2026-09-21 10:10:00,154.0,45.0,0.0,22.0
2026-09-21 10:11:00,154.8035026302705,45.0,0.0,22.0
2026-09-21 10:12:00,155.58013454126453,45.0,0.0,22.0
2026-09-21 10:13:00,156.32776703889706,45.0,0.0,22.0
2026-09-21 10:14:00,157.04435091445944,45.0,0.0,22.0
2026-09-21 10:15:00,157.72792206135784,45.0,0.0,22.0
2026-09-21 10:16:00,158.3766068585931,45.0,0.0,22.0
2026-09-21 10:17:00,158.98862730622548,45.0,0.0,22.0
2026-09-21 10:18:00,159.56230589874906,45.0,0.0,22.0
2026-09-21 10:19:00,160.09607022301762,45.0,0.0,22.0
2026-09-21 10:20:00,160.5884572681199,45.0,0.0,22.0
2026-09-21 10:21:00,161.03811743539063,45.0,0.0,22.0
2026-09-21 10:22:00,161.4438182375668,45.0,12.0,22.0
2026-09-21 10:23:00,161.80444767694962,45.0,12.0,22.0
2026-09-21 10:24:00,162.11901729331277,45.0,12.0,22.0
2026-09-21 10:25:00,162.38666487320324,45.0,12.0,22.0
2026-09-21 10:26:00,162.6066568132085,45.0,12.0,22.0
2026-09-21 10:27:00,162.77839013071247,45.0,12.0,22.0
2026-09-21 10:28:00,162.90139411662892,45.0,12.0,22.0
2026-09-21 10:29:00,162.97533162558233,45.0,12.0,22.0
2026-09-21 10:30:00,163.0,28.0,12.0,22.0
2026-09-21 10:31:00,162.97533162558233,28.0,12.0,22.0
2026-09-21 10:32:00,162.90139411662892,28.0,12.0,22.0
2026-09-21 10:33:00,162.77839013071247,28.0,12.0,22.0
2026-09-21 10:34:00,162.6066568132085,28.0,12.0,22.0
2026-09-21 10:35:00,162.38666487320324,28.0,12.0,22.0
2026-09-21 10:36:00,162.11901729331277,28.0,12.0,22.0
2026-09-21 10:37:00,161.80444767694962,28.0,12.0,22.0
2026-09-21 10:38:00,161.4438182375668,28.0,12.0,22.0
2026-09-21 10:39:00,161.03811743539063,28.0,12.0,22.0
2026-09-21 10:40:00,160.5884572681199,28.0,12.0,22.0
