timestamp;GHI;Tamb
2026-03-21 18:01:00;62.4;27.8
2026-03-21 18:02:00;58.2;27.8
2026-03-21 18:03:00;52.7;27.7
2026-03-21 18:04:00;46.6;27.7
2026-03-21 18:05:00;55.3;27.7
2026-03-21 18:06:00;46.9;27.7
2026-03-21 18:07:00;41.9;27.7
2026-03-21 18:08:00;35.6;27.8
2026-03-21 18:09:00;30.1;27.7
2026-03-21 18:10:00;33.4;27.7
2026-03-21 18:11:00;38.6;27.6
2026-03-21 18:12:00;33.4;27.6
2026-03-21 18:13:00;26.5;27.5
2026-03-21 18:14:00;26.3;27.6
2026-03-21 18:15:00;25.3;27.6
2026-03-21 18:16:00;16.3;27.4
2026-03-21 18:17:00;16.2;27.5
2026-03-21 18:18:00;22.0;27.4
2026-03-21 18:19:00;15.9;27.5
2026-03-21 18:20:00;4.8;27.5
2026-03-21 18:21:00;7.3;27.4
2026-03-21 18:22:00;8.6;27.6
2026-03-21 18:23:00;3.8;27.4
2026-03-21 18:24:00;7.1;27.2
2026-03-21 18:25:00;1.0;27.3
2026-03-21 18:26:00;4.1;27.2
2026-03-21 18:27:00;4.7;27.1
2026-03-21 18:28:00;0.0;27.2
2026-03-21 18:29:00;7.3;27.2
2026-03-21 18:30:00;0.0;27.0
2026-03-21 18:31:00;0.0;27.0
2026-03-21 18:32:00;0.0;27.0
2026-03-21 18:33:00;0.0;27.0
2026-03-21 18:34:00;0.0;26.8
2026-03-21 18:35:00;0.0;27.0
2026-03-21 18:36:00;0.0;27.0
2026-03-21 18:37:00;0.0;26.8
2026-03-21 18:38:00;0.0;26.6
2026-03-21 18:39:00;0.0;26.8
2026-03-21 18:40:00;0.0;27.0
2026-03-21 18:41:00;0.0;26.9
2026-03-21 18:42:00;0.0;27.0
2026-03-21 18:43:00;0.0;27.0
2026-03-21 18:44:00;0.0;26.9
2026-03-21 18:45:00;0.0;26.8
2026-03-21 18:46:00;0.0;26.9
2026-03-21 18:47:00;0.0;26.9
2026-03-21 18:48:00;0.0;26.8
2026-03-21 18:49:00;0.0;26.9
2026-03-21 18:50:00;0.0;26.7
2026-03-21 18:51:00;0.0;26.8
2026-03-21 18:52:00;0.0;26.9
2026-03-21 18:53:00;0.0;26.7
2026-03-21 18:54:00;0.0;26.8
2026-03-21 18:55:00;0.0;26.7
2026-03-21 18:56:00;0.0;26.8
2026-03-21 18:57:00;0.0;26.7
2026-03-21 18:58:00;0.0;26.7
2026-03-21 18:59:00;0.0;26.7
2026-03-21 19:00:00;0.0;26.6
2026-03-21 19:01:00;0.0;26.6
2026-03-21 19:02:00;0.0;26.6
2026-03-21 19:03:00;0.0;26.6
2026-03-21 19:04:00;0.0;26.5
2026-03-21 19:05:00;0.0;26.5
2026-03-21 19:06:00;0.0;26.5
2026-03-21 19:07:00;0.0;26.5
2026-03-21 19:08:00;0.0;26.4
2026-03-21 19:09:00;0.0;26.6
2026-03-21 19:10:00;0.0;26.5
2026-03-21 19:11:00;0.0;26.6
2026-03-21 19:12:00;0.0;26.4
2026-03-21 19:13:00;0.0;26.4
2026-03-21 19:14:00;0.0;26.4
2026-03-21 19:15:00;0.0;26.5
2026-03-21 19:16:00;0.0;26.4
2026-03-21 19:17:00;0.0;26.4
2026-03-21 19:18:00;0.0;26.3
2026-03-21 19:19:00;0.0;26.2
2026-03-21 19:20:00;0.0;26.3
2026-03-21 19:21:00;0.0;26.2
2026-03-21 19:22:00;0.0;26.2
2026-03-21 19:23:00;0.0;26.3
2026-03-21 19:24:00;0.0;26.2
2026-03-21 19:25:00;0.0;26.1
2026-03-21 19:26:00;0.0;26.1
2026-03-21 19:27:00;0.0;26.1
2026-03-21 19:28:00;0.0;26.0
2026-03-21 19:29:00;0.0;26.0
2026-03-21 19:30:00;0.0;26.1
2026-03-21 19:31:00;0.0;25.9
2026-03-21 19:32:00;0.0;26.0
2026-03-21 19:33:00;0.0;25.8
2026-03-21 19:34:00;0.0;25.8
2026-03-21 19:35:00;0.0;25.9
2026-03-21 19:36:00;0.0;25.8
2026-03-21 19:37:00;0.0;25.9
2026-03-21 19:38:00;0.0;25.7
2026-03-21 19:39:00;0.0;25.7
2026-03-21 19:40:00;0.0;25.8
2026-03-21 19:41:00;0.0;25.9
2026-03-21 19:42:00;0.0;25.7
2026-03-21 19:43:00;0.0;25.5
2026-03-21 19:44:00;0.0;25.8
2026-03-21 19:45:00;0.0;25.9
2026-03-21 19:46:00;0.0;25.7
2026-03-21 19:47:00;0.0;25.8
2026-03-21 19:48:00;0.0;25.8
2026-03-21 19:49:00;0.0;25.8
2026-03-21 19:50:00;0.0;25.8
2026-03-21 19:51:00;0.0;25.8
2026-03-21 19:52:00;0.0;25.6
2026-03-21 19:53:00;0.0;25.7
2026-03-21 19:54:00;0.0;25.7
2026-03-21 19:55:00;0.0;25.9
2026-03-21 19:56:00;0.0;25.5
2026-03-21 19:57:00;0.0;25.6
2026-03-21 19:58:00;0.0;25.7
2026-03-21 19:59:00;0.0;25.8
2026-03-21 20:00:00;0.0;25.6
