timestamp,current_A
2026-09-14 08:00:00,0.0
2026-09-14 08:00:10,2.35
2026-09-14 08:00:20,2.35
2026-09-14 08:00:30,2.35
2026-09-14 08:00:40,2.35
2026-09-14 08:00:50,2.35
2026-09-14 08:01:00,2.35
2026-09-14 08:01:10,2.35
2026-09-14 08:01:20,2.35
2026-09-14 08:01:30,2.35
2026-09-14 08:01:40,2.35
2026-09-14 08:01:50,2.35
2026-09-14 08:02:00,2.35
2026-09-14 08:02:10,2.35
2026-09-14 08:02:20,2.35
2026-09-14 08:02:30,2.35
2026-09-14 08:02:40,0.0
2026-09-14 08:02:50,0.0
2026-09-14 08:03:00,0.0
2026-09-14 08:03:10,0.0
2026-09-14 08:03:20,0.0
2026-09-14 08:03:30,0.0
2026-09-14 08:03:40,4.0
2026-09-14 08:03:50,4.0
2026-09-14 08:04:00,4.0
2026-09-14 08:04:10,4.0
2026-09-14 08:04:20,4.0
2026-09-14 08:04:30,4.0
2026-09-14 08:04:40,4.0
2026-09-14 08:04:50,4.0
2026-09-14 08:05:00,4.0
2026-09-14 08:05:10,4.0
2026-09-14 08:05:20,4.0
2026-09-14 08:05:30,4.0
2026-09-14 08:05:40,4.0
2026-09-14 08:05:50,4.0
2026-09-14 08:06:00,-1.8
2026-09-14 08:06:10,-1.8
2026-09-14 08:06:20,-1.8
2026-09-14 08:06:30,-1.8
2026-09-14 08:06:40,-1.8
2026-09-14 08:06:50,-1.8
2026-09-14 08:07:00,-1.8
2026-09-14 08:07:10,-1.8
2026-09-14 08:07:20,0.0
2026-09-14 08:07:30,0.0
2026-09-14 08:07:40,0.0
2026-09-14 08:07:50,0.0
2026-09-14 08:08:00,0.0
2026-09-14 08:08:10,0.0
2026-09-14 08:08:20,0.0
2026-09-14 08:08:30,1.2
2026-09-14 08:08:40,1.2
2026-09-14 08:08:50,1.2
2026-09-14 08:09:00,1.2
2026-09-14 08:09:10,1.2
2026-09-14 08:09:20,1.2
2026-09-14 08:09:30,1.2
2026-09-14 08:09:40,1.2
2026-09-14 08:09:50,1.2
2026-09-14 08:10:00,1.2
