timestamp;power_requested_mw;inflexibility_mw
2026-09-01 00:00:00;99.4;80
2026-09-01 00:30:00;97.1;80
2026-09-01 01:00:00;95.9;80
2026-09-01 01:30:00;95.8;80
2026-09-01 02:00:00;96.8;80
2026-09-01 02:30:00;99.1;80
2026-09-01 03:00:00;102.4;80
2026-09-01 03:30:00;106.8;80
2026-09-01 04:00:00;55.0;80
2026-09-01 04:30:00;60.0;80
2026-09-01 05:00:00;65.0;80
2026-09-01 05:30:00;70.0;80
2026-09-01 06:00:00;142.3;120
2026-09-01 06:30:00;151.3;120
2026-09-01 07:00:00;160.7;120
2026-09-01 07:30:00;170.2;120
2026-09-01 08:00:00;179.7;120
2026-09-01 08:30:00;189.1;120
2026-09-01 09:00:00;198.1;120
2026-09-01 09:30:00;206.7;120
2026-09-01 10:00:00;214.7;120
2026-09-01 10:30:00;221.9;120
2026-09-01 11:00:00;228.3;120
2026-09-01 11:30:00;233.7;120
2026-09-01 12:00:00;237.9;120
2026-09-01 12:30:00;241.1;120
2026-09-01 13:00:00;242.9;120
2026-09-01 13:30:00;243.5;120
2026-09-01 14:00:00;242.9;120
2026-09-01 14:30:00;240.9;120
2026-09-01 15:00:00;237.6;120
2026-09-01 15:30:00;233.1;120
2026-09-01 16:00:00;227.5;120
2026-09-01 16:30:00;220.7;120
2026-09-01 17:00:00;213.0;120
2026-09-01 17:30:00;204.4;120
2026-09-01 18:00:00;195.0;100
2026-09-01 18:30:00;185.0;100
2026-09-01 19:00:00;174.6;100
2026-09-01 19:30:00;164.0;100
2026-09-01 20:00:00;315.0;100
2026-09-01 20:30:00;325.0;100
2026-09-01 21:00:00;310.0;100
2026-09-01 21:30:00;121.7;100
2026-09-01 22:00:00;112.1;100
2026-09-01 22:30:00;103.2;100
2026-09-01 23:00:00;95.2;100
2026-09-01 23:30:00;88.1;100
2026-09-02 00:00:00;82.1;80
2026-09-02 00:30:00;77.2;80
2026-09-02 01:00:00;73.6;80
2026-09-02 01:30:00;71.3;80
2026-09-02 02:00:00;70.3;80
2026-09-02 02:30:00;70.7;80
2026-09-02 03:00:00;72.4;80
2026-09-02 03:30:00;75.4;80
2026-09-02 04:00:00;79.7;80
2026-09-02 04:30:00;85.1;80
2026-09-02 05:00:00;91.7;80
2026-09-02 05:30:00;99.3;80
2026-09-02 06:00:00;107.7;120
2026-09-02 06:30:00;116.8;120
2026-09-02 07:00:00;80.0;120
2026-09-02 07:30:00;90.0;120
2026-09-02 08:00:00;95.0;120
2026-09-02 08:30:00;157.7;120
2026-09-02 09:00:00;168.1;120
2026-09-02 09:30:00;178.3;120
2026-09-02 10:00:00;188.2;120
2026-09-02 10:30:00;197.4;120
2026-09-02 11:00:00;206.0;120
2026-09-02 11:30:00;213.8;120
2026-09-02 12:00:00;220.6;120
2026-09-02 12:30:00;226.4;120
2026-09-02 13:00:00;231.1;120
2026-09-02 13:30:00;234.6;120
2026-09-02 14:00:00;236.8;120
2026-09-02 14:30:00;237.9;120
2026-09-02 15:00:00;237.6;120
2026-09-02 15:30:00;236.1;120
2026-09-02 16:00:00;233.5;120
2026-09-02 16:30:00;229.7;120
2026-09-02 17:00:00;224.8;120
2026-09-02 17:30:00;219.0;120
2026-09-02 18:00:00;212.3;100
2026-09-02 18:30:00;204.9;100
2026-09-02 19:00:00;196.9;100
2026-09-02 19:30:00;188.5;100
2026-09-02 20:00:00;179.7;100
2026-09-02 20:30:00;170.8;100
2026-09-02 21:00:00;161.9;100
2026-09-02 21:30:00;153.1;100
2026-09-02 22:00:00;144.7;100
2026-09-02 22:30:00;136.7;100
2026-09-02 23:00:00;129.3;100
2026-09-02 23:30:00;122.6;100
